COD_ESTRUTURADO,NOME_UNIDADE,NOME_CENTRO,SIGLA_CENTRO,TIPO_UNIDADE,SITUACAO
03.09.03.00.0.0,Curso Medicina Veterinária,Centro de Ciências Rurais,CCR,Coordenação Acadêmica,Formal
26.04.24.00.0.0,Coordenação do Curso Técnico em Informática,Colégio Politécnico,POLI,Coordenação Acadêmica,Formal
03.09.08.00.0.0,Curso Superior de Tecnologia em Agronegócio,Centro de Ciências Rurais,CCR,Coordenação Acadêmica,Formal
03.09.06.00.0.0,Curso Superior de Tecnologia em Alimentos,Centro de Ciências Rurais,CCR,Coordenação Acadêmica,Formal
03.10.01.00.0.0,Programa de Pós-Graduação em Agronomia,Centro de Ciências Rurais,CCR,Coordenação Acadêmica,Formal
03.10.11.00.0.0,Programa de Pós-Graduação em Ciência do Solo,Centro de Ciências Rurais,CCR,Coordenação Acadêmica,Formal
03.10.07.00.0.0,Programa de Pós-Graduação em Ciência e Tecnologia de Alimentos,Centro de Ciências Rurais,CCR,Coordenação Acadêmica,Formal
03.10.03.00.0.0,Programa de Pós-Graduação em Engenharia Agrícola,Centro de Ciências Rurais,CCR,Coordenação Acadêmica,Formal
03.10.08.00.0.0,Programa de Pós-Graduação em Engenharia Florestal,Centro de Ciências Rurais,CCR,Coordenação Acadêmica,Formal
02.10.09.00.0.0,Curso-Programa Pg em Ciências Biológicas: Bioquímica Toxicológica,Centro de Ciências Naturais e Exatas,CCNE,Coordenação Acadêmica,Formal
03.10.18.19.0.0,Programa de Residência Uniprofissional em Medicina Veterinária,Centro de Ciências Rurais,CCR,Coordenação Acadêmica,Formal
04.09.07.00.0.0,Curso de Enfermagem,Centro de Ciências da Saúde,CCS,Coordenação Acadêmica,Formal
04.09.08.00.0.0,Curso de Farmácia,Centro de Ciências da Saúde,CCS,Coordenação Acadêmica,Formal
04.09.03.00.0.0,Curso de Fisioterapia,Centro de Ciências da Saúde,CCS,Coordenação Acadêmica,Formal
04.09.04.00.0.0,Curso de Fonoaudiologia,Centro de Ciências da Saúde,CCS,Coordenação Acadêmica,Formal
04.09.05.00.0.0,Curso de Medicina,Centro de Ciências da Saúde,CCS,Coordenação Acadêmica,Formal
04.09.10.00.0.0,Curso de Nutrição,Centro de Ciências da Saúde,CCS,Coordenação Acadêmica,Formal
04.10.30.00.0.0,Curso de Pós-Graduação em Práticas Integrativas e Complementares no Cuidado em Sáude,Centro de Ciências da Saúde,CCS,Coordenação Acadêmica,Formal
04.09.09.00.0.0,Curso de Terapia Ocupacional,Centro de Ciências da Saúde,CCS,Coordenação Acadêmica,Formal
04.10.24.00.0.0,Curso Pg-E em Reabilitação Físico-Motora,Centro de Ciências da Saúde,CCS,Coordenação Acadêmica,Formal
04.10.31.00.0.0,Programa de Pós-Graduação em Ciências Biológicas: Farmacologia,Centro de Ciências da Saúde,CCS,Coordenação Acadêmica,Formal
04.10.23.00.0.0,Programa de Pós-Graduação em Ciências da Saúde - Mestrado Profissional,Centro de Ciências da Saúde,CCS,Coordenação Acadêmica,Formal
04.10.14.00.0.0,Programa de Pós-Graduação em Ciências Farmacêuticas,Centro de Ciências da Saúde,CCS,Coordenação Acadêmica,Formal
04.10.19.00.0.0,Programa de Pós-Graduação em Enfermagem,Centro de Ciências da Saúde,CCS,Coordenação Acadêmica,Formal
04.10.29.00.0.0,Programa de Pós-Graduação em Saúde Coletiva,Centro de Ciências da Saúde,CCS,Coordenação Acadêmica,Formal
04.10.02.00.0.0,Programa de Residência Médica,Centro de Ciências da Saúde,CCS,Coordenação Acadêmica,Formal
06.09.01.00.0.0,Curso de Administração,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.09.25.00.0.0,Curso de Administração Noturno,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.09.02.00.0.0,Curso de Arquivologia,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.09.29.00.0.0,Curso de Bacharelado em Administração,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
03.10.15.00.0.0,Programa de Pós-Graduação em Extensão Rural,Centro de Ciências Rurais,CCR,Coordenação Acadêmica,Formal
03.10.04.00.0.0,Programa de Pós-Graduação em Medicina Veterinária,Centro de Ciências Rurais,CCR,Coordenação Acadêmica,Formal
03.10.05.00.0.0,Programa de Pós-Graduação em Zootecnia,Centro de Ciências Rurais,CCR,Coordenação Acadêmica,Formal
06.09.21.00.0.0,Curso de Comunicação Social - Publicidade e Propaganda,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.09.23.00.0.0,Curso de Comunicação Social - Relações Públicas,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.09.05.00.0.0,Curso de Direito,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.09.26.00.0.0,Curso de Direito Noturno,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.09.07.00.0.0,Curso de Filosofia,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.09.10.00.0.0,Curso de História Bacharelado,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.09.11.00.0.0,Curso de História Licenciatura,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.09.27.00.0.0,Curso de Licenciatura em Ciências Sociais,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.09.18.00.0.0,Curso de Licenciatura em Sociologia a Distância,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.09.12.00.0.0,Curso de Psicologia,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.09.16.00.0.0,Curso de Relações Internacionais,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.09.20.00.0.0,Curso de Serviço Social - Bacharelado (Noturno),Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.09.15.00.0.0,Curso Noturno de Bacharelado em Filosofia,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.10.28.00.0.0,Curso Pg Lato Sensu em Gestão Pública - EAD,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.10.29.00.0.0,Curso Pg Lato Sensu Gestão Pública Municipal - EAD,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.00.01.50.0.0,Curso Pg-E Ciência de Dados na Administração Pública - EAD,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.10.37.00.0.0,Curso Pg-E em Ensino de Filosofia no Ensino Médio - EAD,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.10.38.00.0.0,Curso Pg-E em Ensino de Sociologia no Ensino Médio - EAD,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.09.03.00.0.0,Curso de Ciências Contábeis,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.09.06.00.0.0,Curso de Ciências Econômicas,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.09.13.00.0.0,Curso de Ciências Sociais,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.09.22.00.0.0,Curso de Comunicação Social - Jornalismo,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.09.19.00.0.0,Curso de Comunicação Social - Produção Editorial,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.10.26.00.0.0,Programa de Pós-Graduação em Ciências Sociais,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.10.35.00.0.0,Programa de Pós-Graduação em Comunicação,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.10.36.00.0.0,Programa de Pós-Graduação em Direito,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.10.02.00.0.0,Programa de Pós-Graduação em Filosofia,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.10.40.00.0.0,Programa de Pós-Graduação em Gestão de Organizações Públicas,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.10.31.00.0.0,Programa de Pós-Graduação em História,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.10.22.00.0.0,Programa de Pós-Graduação em Patrimônio Cultural,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.10.39.00.0.0,Programa de Pós-Graduação em Psicologia,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.10.06.00.0.0,Programa de Pós-Graduação em Relações Internacionais,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.10.44.00.0.0,Programa de Pós-Graduação em Serviço Social e Políticas Públicas,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
05.09.01.00.0.0,Curso de Educação Especial,Centro de Educação,CE,Coordenação Acadêmica,Formal
05.09.15.00.0.0,Curso de Educação Especial - Semipresencial,Centro de Educação,CE,Coordenação Acadêmica,Formal
05.09.05.00.0.0,Curso de Educação Especial a Distância,Centro de Educação,CE,Coordenação Acadêmica,Formal
05.09.14.00.0.0,Curso de Educação Especial Inclusiva,Centro de Educação,CE,Coordenação Acadêmica,Formal
05.09.16.00.0.0,Curso de Formação de Professores para Educação Profissional - Semipresencial,Centro de Educação,CE,Coordenação Acadêmica,Formal
05.09.11.00.0.0,Curso de Formação de Professores para Educação Profissional EAD,Centro de Educação,CE,Coordenação Acadêmica,Formal
06.10.01.00.0.0,Curso Pg-E em Estudos de Gênero,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.10.13.00.0.0,Curso Pg-E Gestão de Pessoas,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.09.28.00.0.0,Curso Superior de Tecnologia em Gestão de Turismo,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.10.33.00.0.0,Curso-Programa Pg-M em Economia e Desenvolvimento,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.10.25.00.0.0,Pg-E a Distância - Gestão em Arquivos,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.10.43.00.0.0,Programa de Pós-Graduação em Administração e Ciências Contábeis,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
06.00.01.00.0.0,Programa de Pós-Graduação em Administração Pública,Centro de Ciências Sociais e Humanas,CCSH,Coordenação Acadêmica,Formal
05.10.11.00.0.0,Pg-Distância - Especialização Lato Sensu Gestão Educacional,Centro de Educação,CE,Coordenação Acadêmica,Formal
05.10.03.00.0.0,Programa de Pós-Graduação em Educação,Centro de Educação,CE,Coordenação Acadêmica,Formal
05.10.20.00.0.0,Programa de Pós-Graduação em Políticas Públicas e Gestão Educacional,Centro de Educação,CE,Coordenação Acadêmica,Formal
05.10.18.00.0.0,Programa de Pós-Graduação Mestrado Profissional em História em Rede Nacional,Centro de Educação,CE,Coordenação Acadêmica,Formal
05.10.16.00.0.0,Programa de Pós-Graduação Mestrado Profissional em Tecnologias Educacionais em Rede,Centro de Educação,CE,Coordenação Acadêmica,Formal
09.09.01.00.0.0,Curso de Educação Física,Centro de Educação Física e Desportos,CEFD,Coordenação Acadêmica,Formal
09.09.03.00.0.0,Curso de Educação Física - Bacharelado,Centro de Educação Física e Desportos,CEFD,Coordenação Acadêmica,Formal
09.10.05.00.0.0,Pg-E em Educação Física Escolar,Centro de Educação Física e Desportos,CEFD,Coordenação Acadêmica,Formal
09.10.01.00.0.0,Programa de Pós-Graduação em Ciência Movimento Humano,Centro de Educação Física e Desportos,CEFD,Coordenação Acadêmica,Formal
09.10.07.00.0.0,Programa de Pós-Graduação em Ciências do Movimento e Reabilitação,Centro de Educação Física e Desportos,CEFD,Coordenação Acadêmica,Formal
09.10.06.00.0.0,Programa de Pós-Graduação em Gerontologia,Centro de Educação Física e Desportos,CEFD,Coordenação Acadêmica,Formal
07.09.06.00.0.0,Curso Arquitetura e Urbanismo,Centro de Tecnologia,CT,Coordenação Acadêmica,Formal
07.09.12.00.0.0,Curso de Bacharelado em Sistemas de Informação,Centro de Tecnologia,CT,Coordenação Acadêmica,Formal
07.09.05.00.0.0,Curso de Ciência da Computação,Centro de Tecnologia,CT,Coordenação Acadêmica,Formal
05.09.12.00.0.0,Curso de Licenciatura em Ciências da Religião - Modalidade a Distância,Centro de Educação,CE,Coordenação Acadêmica,Formal
05.09.08.00.0.0,Curso Graduação em Pedagogia a Distância,Centro de Educação,CE,Coordenação Acadêmica,Formal
05.09.09.00.0.0,Curso Licenciatura Educação Especial - Noturno,Centro de Educação,CE,Coordenação Acadêmica,Formal
05.09.07.00.0.0,Curso Pedagogia Licenciatura Plena Diurno,Centro de Educação,CE,Coordenação Acadêmica,Formal
05.09.06.00.0.0,Curso Pedagogia Licenciatura Plena Noturno,Centro de Educação,CE,Coordenação Acadêmica,Formal
05.10.21.00.0.0,Curso Pg-E de Gestão Pública na Educação Infantil e Docência - EAD,Centro de Educação,CE,Coordenação Acadêmica,Formal
05.10.01.00.0.0,Curso Pg-E Gestão Educacional,Centro de Educação,CE,Coordenação Acadêmica,Formal
05.09.13.00.0.0,Curso-Programa Especial de Formação Professores Educação Profissional,Centro de Educação,CE,Coordenação Acadêmica,Formal
05.10.13.00.0.0,Curso-Programa Especial de Formação Professores Educação Profissional,Centro de Educação,CE,Coordenação Acadêmica,Formal
07.10.14.00.0.0,Curso de Especialização em Eficiência Energética Aplicada Aos Processos Produtivos - EAD,Centro de Tecnologia,CT,Coordenação Acadêmica,Formal
07.10.11.00.0.0,"Curso Pg-E Mídias na Educação, Modalidade a Distância",Centro de Tecnologia,CT,Coordenação Acadêmica,Formal
07.10.15.00.0.0,"Pg-E em Educação Ambiental, Modalidade EAD",Centro de Tecnologia,CT,Coordenação Acadêmica,Formal
07.10.17.00.0.0,"Programa de Pós-Graduação em Arquitetura, Urbanismo e Paisagismo",Centro de Tecnologia,CT,Coordenação Acadêmica,Formal
07.10.18.00.0.0,Programa de Pós-Graduação em Ciência da Computação,Centro de Tecnologia,CT,Coordenação Acadêmica,Formal
07.10.21.00.0.0,Programa de Pós-Graduação em Engenharia Civil e Ambiental,Centro de Tecnologia,CT,Coordenação Acadêmica,Formal
07.10.02.00.0.0,Programa de Pós-Graduação em Engenharia de Produção,Centro de Tecnologia,CT,Coordenação Acadêmica,Formal
07.10.01.00.0.0,Programa de Pós-Graduação em Engenharia Elétrica,Centro de Tecnologia,CT,Coordenação Acadêmica,Formal
07.10.19.00.0.0,Programa de Pós-Graduação em Engenharia Mecânica,Centro de Tecnologia,CT,Coordenação Acadêmica,Formal
07.10.16.00.0.0,Programa de Pós-Graduação em Engenharia Química,Centro de Tecnologia,CT,Coordenação Acadêmica,Formal
26.04.37.00.0.0,Coordenação do Curso Técnico em Enfermagem,Colégio Politécnico,POLI,Coordenação Acadêmica,Formal
26.04.20.00.0.0,Coordenação do Curso Técnico em Administração,Colégio Politécnico,POLI,Coordenação Acadêmica,Formal
07.09.15.00.0.0,Curso de Engenharia Ambiental e Sanitária,Centro de Tecnologia,CT,Coordenação Acadêmica,Formal
07.09.10.00.0.0,Curso de Engenharia Acústica,Centro de Tecnologia,CT,Coordenação Acadêmica,Formal
07.09.13.00.0.0,Curso de Engenharia Aeroespacial,Centro de Tecnologia,CT,Coordenação Acadêmica,Formal
07.09.01.00.0.0,Curso de Engenharia Civil,Centro de Tecnologia,CT,Coordenação Acadêmica,Formal
07.09.09.00.0.0,Curso de Engenharia de Computação,Centro de Tecnologia,CT,Coordenação Acadêmica,Formal
07.09.07.00.0.0,Curso de Engenharia de Controle e Automação,Centro de Tecnologia,CT,Coordenação Acadêmica,Formal
07.09.08.00.0.0,Curso de Engenharia de Produção,Centro de Tecnologia,CT,Coordenação Acadêmica,Formal
07.09.02.00.0.0,Curso de Engenharia Elétrica,Centro de Tecnologia,CT,Coordenação Acadêmica,Formal
07.09.14.00.0.0,Curso de Engenharia em Telecomunicações,Centro de Tecnologia,CT,Coordenação Acadêmica,Formal
07.09.03.00.0.0,Curso de Engenharia Mecânica,Centro de Tecnologia,CT,Coordenação Acadêmica,Formal
07.09.04.00.0.0,Curso de Engenharia Química,Centro de Tecnologia,CT,Coordenação Acadêmica,Formal
26.04.25.00.0.0,Coordenação do Curso Técnico em Paisagismo,Colégio Politécnico,POLI,Coordenação Acadêmica,Formal
26.04.31.00.0.0,Coordenação do Curso Técnico em Secretariado,Colégio Politécnico,POLI,Coordenação Acadêmica,Formal
26.04.35.00.0.0,Coordenação do Curso Técnico em Zootecnia,Colégio Politécnico,POLI,Coordenação Acadêmica,Formal
26.04.15.00.0.0,Curso Pg-Mestrado Profissional em Agricultura de Precisão,Colégio Politécnico,POLI,Coordenação Acadêmica,Formal
26.04.02.00.0.0,Curso Superior de Tecnologia de Geoprocessamento,Colégio Politécnico,POLI,Coordenação Acadêmica,Formal
26.04.04.00.0.0,Curso Superior de Tecnologia em Gestão Ambiental,Colégio Politécnico,POLI,Coordenação Acadêmica,Formal
26.04.01.00.0.0,Curso Superior de Tecnologia em Gestão de Cooperativas,Colégio Politécnico,POLI,Coordenação Acadêmica,Formal
26.04.03.00.0.0,Curso Superior de Tecnologia em Sistemas para Internet,Colégio Politécnico,POLI,Coordenação Acadêmica,Formal
25.18.12.00.0.0,Coordenação Curso Técnico em Informática para Internet Integrado ao Ensino Médio,Colégio Técnico Industrial de Santa Maria,CTISM,Coordenação Acadêmica,Formal
25.18.13.00.0.0,Coordenação Curso Técnico em Soldagem Subsequente,Colégio Técnico Industrial de Santa Maria,CTISM,Coordenação Acadêmica,Formal
26.04.38.00.0.0,Coordenação do Curso Técnico em Agricultura,Colégio Politécnico,POLI,Coordenação Acadêmica,Formal
26.04.39.00.0.0,Coordenação do Curso Técnico em Agricultura de Precisão,Colégio Politécnico,POLI,Coordenação Acadêmica,Formal
26.04.43.00.0.0,Coordenação do Curso Técnico em Agrimensura,Colégio Politécnico,POLI,Coordenação Acadêmica,Formal
26.04.22.00.0.0,Coordenação do Curso Técnico em Agropecuária,Colégio Politécnico,POLI,Coordenação Acadêmica,Formal
26.04.33.00.0.0,Coordenação do Curso Técnico em Alimentos,Colégio Politécnico,POLI,Coordenação Acadêmica,Formal
26.04.40.00.0.0,Coordenação do Curso Técnico em Comércio,Colégio Politécnico,POLI,Coordenação Acadêmica,Formal
26.04.29.00.0.0,Coordenação do Curso Técnico em Contabilidade,Colégio Politécnico,POLI,Coordenação Acadêmica,Formal
26.04.36.00.0.0,Coordenação do Curso Técnico em Cuidados de Idosos,Colégio Politécnico,POLI,Coordenação Acadêmica,Formal
26.04.44.00.0.0,Coordenação do Curso Técnico em Enfermagem Noturno,Colégio Politécnico,POLI,Coordenação Acadêmica,Formal
26.04.34.00.0.0,Coordenação do Curso Técnico em Farmácia,Colégio Politécnico,POLI,Coordenação Acadêmica,Formal
26.04.41.00.0.0,Coordenação do Curso Técnico em Fruticultura,Colégio Politécnico,POLI,Coordenação Acadêmica,Formal
26.04.26.00.0.0,Coordenação do Curso Técnico em Meio Ambiente,Colégio Politécnico,POLI,Coordenação Acadêmica,Formal
31.09.01.00.0.0,Curso de Arquitetura e Urbanismo - CS,Campus da UFSM em Cachoeira do Sul,CS,Coordenação Acadêmica,Formal
31.09.06.00.0.0,Curso de Ciências de Dados e Inteligência Artificial - CS,Campus da UFSM em Cachoeira do Sul,CS,Coordenação Acadêmica,Formal
31.09.02.00.0.0,Curso de Engenharia Agrícola - CS,Campus da UFSM em Cachoeira do Sul,CS,Coordenação Acadêmica,Formal
31.09.05.00.0.0,Curso de Engenharia de Transportes e Logística - CS,Campus da UFSM em Cachoeira do Sul,CS,Coordenação Acadêmica,Formal
31.09.03.00.0.0,Curso de Engenharia Elétrica - CS,Campus da UFSM em Cachoeira do Sul,CS,Coordenação Acadêmica,Formal
31.09.04.00.0.0,Curso de Engenharia Mecânica - CS,Campus da UFSM em Cachoeira do Sul,CS,Coordenação Acadêmica,Formal
32.09.01.00.0.0,Curso de Administração - Noturno - PM,Campus da UFSM em Palmeira Das Missões,PM,Coordenação Acadêmica,Formal
32.09.07.00.0.0,Curso de Administração Diurno - PM,Campus da UFSM em Palmeira Das Missões,PM,Coordenação Acadêmica,Formal
25.18.06.00.0.0,Coordenação do Curso de Automação Industrial,Colégio Técnico Industrial de Santa Maria,CTISM,Coordenação Acadêmica,Formal
25.18.05.00.0.0,Coordenação do Curso de Eletromecânica,Colégio Técnico Industrial de Santa Maria,CTISM,Coordenação Acadêmica,Formal
25.18.03.00.0.0,Coordenação do Curso de Eletrotécnica,Colégio Técnico Industrial de Santa Maria,CTISM,Coordenação Acadêmica,Formal
25.18.09.00.0.0,Coordenação do Curso de Eletrônica,Colégio Técnico Industrial de Santa Maria,CTISM,Coordenação Acadêmica,Formal
25.18.04.00.0.0,Coordenação do Curso de Mecânica,Colégio Técnico Industrial de Santa Maria,CTISM,Coordenação Acadêmica,Formal
25.18.07.00.0.0,Coordenação do Curso de Segurança do Trabalho,Colégio Técnico Industrial de Santa Maria,CTISM,Coordenação Acadêmica,Formal
25.18.10.00.0.0,Coordenação do Curso Técnico em Eletrotécnica Integrado,Colégio Técnico Industrial de Santa Maria,CTISM,Coordenação Acadêmica,Formal
25.18.64.00.0.0,Coordenação do Curso Técnico em Internet das Coisas Integrado ao Ensino Médio,Colégio Técnico Industrial de Santa Maria,CTISM,Coordenação Acadêmica,Formal
25.18.11.00.0.0,Coordenação do Curso Técnico em Mecânica Integrado,Colégio Técnico Industrial de Santa Maria,CTISM,Coordenação Acadêmica,Formal
25.18.08.00.0.0,Coordenação Geral do Curso Proeja,Colégio Técnico Industrial de Santa Maria,CTISM,Coordenação Acadêmica,Formal
25.18.15.00.0.0,Curso de Pós-Graduação em Formação de Professores para O Ensino de Robótica,Colégio Técnico Industrial de Santa Maria,CTISM,Coordenação Acadêmica,Formal
25.18.14.00.0.0,Curso Mestrado Acadêmico em Educação Profissional e Tecnológica,Colégio Técnico Industrial de Santa Maria,CTISM,Coordenação Acadêmica,Formal
25.18.18.00.0.0,Curso Superior de Tecnologia em Eletrônica Industrial,Colégio Técnico Industrial de Santa Maria,CTISM,Coordenação Acadêmica,Formal
25.18.16.00.0.0,Curso Superior de Tecnologia em Fabricação Mecânica,Colégio Técnico Industrial de Santa Maria,CTISM,Coordenação Acadêmica,Formal
25.18.17.00.0.0,Curso Superior de Tecnologia em Redes de Computadores,Colégio Técnico Industrial de Santa Maria,CTISM,Coordenação Acadêmica,Formal
33.09.04.00.0.0,Curso de Relações Públicas Bacharelado - Campus FW,Campus da UFSM em Frederico Westphalen,FW,Coordenação Acadêmica,Formal
33.09.06.00.0.0,Curso de Sistemas de Informação - Campus FW,Campus da UFSM em Frederico Westphalen,FW,Coordenação Acadêmica,Formal
33.10.01.00.0.0,Programa de Pós-Graduação em Agronomia - Agricultura e Ambiente - Campus FW,Campus da UFSM em Frederico Westphalen,FW,Coordenação Acadêmica,Formal
33.10.02.00.0.0,Programa de Pós-Graduação em Ciência e Tecnologia Ambiental- Campus FW,Campus da UFSM em Frederico Westphalen,FW,Coordenação Acadêmica,Formal
02.09.12.00.0.0,Curso Graduação de Licenciatura em Matemática a Distância,Centro de Ciências Naturais e Exatas,CCNE,Coordenação Acadêmica,Informal
05.10.08.00.0.0,Curso a Distância Pg-E em Educação Especial,Centro de Educação,CE,Coordenação Acadêmica,Informal
32.09.05.00.0.0,Curso de Ciências Biológicas - PM,Campus da UFSM em Palmeira Das Missões,PM,Coordenação Acadêmica,Formal
32.09.06.00.0.0,Curso de Ciências Econômicas - PM,Campus da UFSM em Palmeira Das Missões,PM,Coordenação Acadêmica,Formal
32.09.02.00.0.0,Curso de Enfermagem - PM,Campus da UFSM em Palmeira Das Missões,PM,Coordenação Acadêmica,Formal
32.09.04.00.0.0,Curso de Nutrição - PM,Campus da UFSM em Palmeira Das Missões,PM,Coordenação Acadêmica,Formal
32.10.04.00.0.0,Curso de Pós-Graduação em Gestão e Gerenciamento das Redes de Atenção à Saúde,Campus da UFSM em Palmeira Das Missões,PM,Coordenação Acadêmica,Formal
32.09.03.00.0.0,Curso de Zootecnia - PM,Campus da UFSM em Palmeira Das Missões,PM,Coordenação Acadêmica,Formal
32.10.02.00.0.0,Pg-E em Gestão de Organização Pública em Saúde - Modalidade a Distância,Campus da UFSM em Palmeira Das Missões,PM,Coordenação Acadêmica,Formal
32.10.01.00.0.0,Programa de Pós-Graduação em Agronegócios - PM,Campus da UFSM em Palmeira Das Missões,PM,Coordenação Acadêmica,Formal
32.10.03.00.0.0,Programa de Pós-Graduação em Saúde e Ruralidade - PM,Campus da UFSM em Palmeira Das Missões,PM,Coordenação Acadêmica,Formal
33.09.01.00.0.0,Curso de Agronomia - Campus FW,Campus da UFSM em Frederico Westphalen,FW,Coordenação Acadêmica,Formal
33.09.11.00.0.0,Curso de Direito - Campus FW,Campus da UFSM em Frederico Westphalen,FW,Coordenação Acadêmica,Formal
33.09.05.00.0.0,Curso de Engenharia Ambiental e Sanitária - Campus FW,Campus da UFSM em Frederico Westphalen,FW,Coordenação Acadêmica,Formal
33.09.02.00.0.0,Curso de Engenharia Florestal - Campus FW,Campus da UFSM em Frederico Westphalen,FW,Coordenação Acadêmica,Formal
33.09.03.00.0.0,Curso de Jornalismo Bacharelado - Campus FW,Campus da UFSM em Frederico Westphalen,FW,Coordenação Acadêmica,Formal
33.09.08.00.0.0,Curso de Licenciatura em Computação - Modalidade a Distância,Campus da UFSM em Frederico Westphalen,FW,Coordenação Acadêmica,Formal
33.09.09.00.0.0,Curso de Licenciatura em Educação Indígena - Modalidade EAD,Campus da UFSM em Frederico Westphalen,FW,Coordenação Acadêmica,Formal
33.09.10.00.0.0,Curso de Licenciatura Intercultural Indígena,Campus da UFSM em Frederico Westphalen,FW,Coordenação Acadêmica,Formal
05.09.10.00.0.0,Curso de Educação Especial - Licenciatura EAD- Parfor,Centro de Educação,CE,Coordenação Acadêmica,Informal
26.04.30.00.0.0,Coord-Geral da Bolsa-Formação - Pronatec,Colégio Politécnico,POLI,Coordenação Acadêmica,Informal
26.04.28.00.0.0,Coordenação do Proeja,Colégio Politécnico,POLI,Coordenação Acadêmica,Informal
25.04.10.00.0.0,Coord-Geral da Bolsa Formação-Pronatec,Colégio Técnico Industrial de Santa Maria,CTISM,Coordenação Acadêmica,Informal
31.10.01.00.0.0,"Curso Pg-E Ensino de Ciências C/Ênfase em Física, Química Ou Matemática - EAD-UAB",Campus da UFSM em Cachoeira do Sul,CS,Coordenação Acadêmica,Informal
99.02.00.00.0.0,Coord. Aperf. Pessoal de Nivel Superior - Capes,Reitoria,REITORIA,Curso/Habilitação/Opção,Informal
02.09.20.01.0.0,Curso de Estatística,Centro de Ciências Naturais e Exatas,CCNE,Curso/Habilitação/Opção,Formal
02.10.17.03.0.0,Curso de Pós-Graduação em Mudanças Climáticas,Centro de Ciências Naturais e Exatas,CCNE,Curso/Habilitação/Opção,Formal
03.10.18.19.0.4,Programa de Residência Uniprofissional em Medicina Veterinária - Patologia Clínica Veterinária,Centro de Ciências Rurais,CCR,Curso/Habilitação/Opção,Informal
99.00.00.00.0.0,Unidades Orcamentarias,Reitoria,REITORIA,Curso/Habilitação/Opção,Informal
99.01.01.00.0.0,Universidade Federal de Santa Maria,Reitoria,REITORIA,Curso/Habilitação/Opção,Informal
